ADDRESS,YEAR BUILT, SALE PRICE 
65 82ND STREET,1920,"4,250,000"
152 81ST STREET,1920,0
178 81ST STREET,1925,"1,750,000"
185 82ND STREET,1899,0
135 82ND STREET,1930,"1,460,000"
328 81ST STREET,1920,0
372 81ST STREET,1920,"1,415,000"
466 81ST STREET,1910,0
8205 NARROWS AVENUE,1925,0
49 83RD STREET,1910,"3,200,000"
166 82ND STREET,1930,"1,900,000"
8204 RIDGE BOULEVARD,1920,0
28 SHORE ROAD LANE,1950,0
28 SHORE ROAD LANE,1950,"1,800,000"
271 84TH STREET,1905,"1,550,000"
328 83RD STREET,1915,0
333 84TH STREET,1920,"1,270,000"
438 83RD STREET,1920,"1,100,000"
440 83RD STREET,1899,"1,480,000"
569 84 STREET,1925,"999,000"
119 85TH STREET,1910,0
225 85TH STREET,1910,"1,849,000"
660 84TH STREET,1915,"900,000"
8420 7TH AVENUE,1925,0
50 85TH STREET,1920,0
94 85TH STREET,1920,0
158 85TH STREET,1910,"2,520,000"
546 85TH STREET,1925,"1,180,000"
548 85TH STREET,1925,0
11 87TH STREET,1925,0
64 87 STREET,1930,"2,750,000"
83 88TH STREET,1930,"1,320,000"
114 87TH STREET,1920,0
118 87TH STREET,1920,"1,150,000"
264 87TH STREET,1940,0
219 88TH STREET,1960,0
359 88TH STREET,1920,"725,000"
313 88TH STREET,1925,"625,000"
47 GELSTON AVENUE,1910,0
637 88TH STREET,1925,"950,000"
119 89TH STREET,1925,"1,225,000"
117 89TH STREET,1925,0
322 88TH STREET,1920,0
260 89TH STREET,1925,0
213 90TH STREET,1930,0
48 GATLING PLACE,1940,0
658 88TH STREET,1925,0
8814 7 AVENUE,1965,"935,000"
8917 SHORE COURT,1925,0
63 91ST STREET,1925,"1,622,500"
11 COLONIAL GARDENS,1925,"1,080,000"
9110 RIDGE BOULEVARD,1910,0
220 91ST STREET,1925,"1,050,000"
97 DAHLGREN PLACE,1920,"973,000"
637 92ND STREET,1899,0
633 92ND STREET,1899,"720,000"
48 OLIVER STREET,1925,0
60 OLIVER STREET,1925,0
50 93RD,1925,0
50 93RD STREET,1925,"1,450,000"
62 93RD STREET,1925,"1,498,000"
29 94TH STREET,1925,"1,500,000"
57 MARINE AVENUE,1925,"1,232,753"
325 94TH STREET,1905,"700,000"
325 94TH STREET,1905,"720,000"
9317 LAFAYETTE WALK,1925,"690,000"
9321 LAFAYETTE WALK,1925,"685,000"
9324 LAFAYETTE WALK,1925,0
9323 HAMILTON WALK,1925,"899,000"
9210 FORT HAMILTON PKWY,1899,0
356 94TH STREET,1925,"1,260,000"
352 95TH STREET,1915,"890,000"
344 96TH STREET,1910,"1,225,000"
222 97TH STREET,1987,"1,111,000"
354 97TH STREET,1950,0
9711 BARWELL TERRACE,1925,0
441 MARINE AVENUE,1930,"700,000"
136 98 STREET,1925,0
415 99TH STREET,1899,"675,000"
461 100 ST,1960,0
424 99TH STREET,1925,0
335 101 STREET,1925,10
9942 FORT HAMILTON PARKWAY,1935,"920,000"
453 101ST STREET,1940,"860,000"
9956 FORT HAMILTON PARKWAY,1940,0
